Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:44FUMcOGhsXw79mwOTS6vr,"夜闌人靜","25","moon tang",2025-03-11,193333,56,false,,2025-05-22T13:52:38Z,"cantopop","WM Hong Kong",0.604,0.294,7,-12.358,0,0.0579,0.882,0,0.108,0.404,116.723,4
spotify:track:2nNl8uFxj9tu9jqYwSzkMm,"為何嚴重到這樣","為何嚴重到這樣","Dear Jane",2023-11-28,278133,37,false,,2025-05-09T05:47:17Z,"cantopop,v-pop,c-pop,taiwanese pop","WM Hong Kong",0.475,0.718,10,-6.463,1,0.0457,0.565,0,0.186,0.522,143.986,4
spotify:track:1sb71AvysPMJlsx4qYtTpG,"緊急聯絡人","緊急聯絡人","Gareth.T",2023-11-30,222668,65,false,,2025-05-09T05:47:17Z,"cantopop,chinese r&b","WM Hong Kong",0.513,0.373,5,-10.54,1,0.0418,0.596,0,0.121,0.338,134.269,4
spotify:track:2mMgDVazhRjNoOweYMP1pz,"青春告別式","青春告別式","Hins Cheung",2023-12-31,256967,50,false,,2025-05-09T05:47:17Z,"cantopop,mandopop,c-pop,taiwanese pop","EEG Music",0.433,0.38,1,-9.062,1,0.0305,0.824,0,0.116,0.259,133.787,4
spotify:track:1mUhvuqX0ScGodDTdnRtuL,"永久損毀","永久損毀","MC 張天賦;Panther Chan",2023-12-19,232002,45,false,,2025-05-09T05:47:17Z,"cantopop,c-pop,taiwanese pop","WM Hong Kong",0.514,0.405,6,-5.92,1,0.0334,0.762,0,0.103,0.46,141.085,4
spotify:track:5GnB3Nz0WfhOZK50PtAcma,"三生有幸","三生有幸","Yan Ting",2024-02-23,217852,45,false,,2025-05-09T05:47:17Z,"cantopop","Universal Music Ltd.",0.548,0.34,3,-8.548,1,0.0352,0.455,0,0.201,0.48,149.031,4
spotify:track:6eK3D9wcJhv7RDtpsqPBXs,"黑玻璃","黑玻璃","Kaho Hung",2024-01-04,219385,52,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","WM Hong Kong",0.654,0.714,6,-5.3,1,0.0702,0.265,0,0.117,0.51,135.901,4
spotify:track:2oOemghuOplk25PORF4s39,"至少做一件離譜的事","至少做一件離譜的事","Kiri T",2024-03-19,232839,52,false,,2025-05-09T05:47:17Z,"cantopop","WM Hong Kong",0.427,0.333,4,-9.218,1,0.0311,0.879,0.00000658,0.0994,0.174,142.364,4
spotify:track:0VKdwugDTY088b1J84QH3e,"Let go","Let go","Nancy Kwai",2024-07-25,230581,58,false,,2025-05-09T05:47:17Z,"cantopop","WM Hong Kong",0.569,0.432,1,-7.034,1,0.0334,0.582,0,0.113,0.222,135.758,4
spotify:track:28MuHiNnoY8yjwhvIw5NnO,"戀愛腦之死","戀愛腦之死","陳健安",2024-05-10,272626,51,false,,2025-05-09T05:47:17Z,"cantopop","Media Asia Music Limited",0.432,0.702,0,-7.381,0,0.0409,0.00811,0,0.131,0.429,145.826,4
spotify:track:3MqGva6ELfd235l8WtkTIa,"四月物語","四月物語","Terence Lam",2025-04-15,213000,50,false,,2025-07-17T09:26:39Z,"cantopop,c-pop","Terence Lam Production & Co.",0.483,0.457,3,-7.37,1,0.0299,0.588,0,0.145,0.55,147.795,4
spotify:track:1R116HqW5ECo5VRjeewhM9,"說謊者","說謊者","MC 張天賦",2025-01-01,249136,54,false,,2025-05-09T05:47:17Z,"cantopop,c-pop,taiwanese pop","WM Hong Kong",0.539,0.505,0,-6.914,1,0.0419,0.636,0,0.084,0.324,129.641,4
